metric,sampler,frac,theta1,theta2,sign,p_misrank,n_valid,pair_id,seed1,seed2
modularity,snowball,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,degree_weighted,0.05,0.016854585609671045,0.4905644829007004,-1.0,0.46,150.0,2,204,305
assortativity,degree_weighted,0.05,-0.07749951482827531,-0.020658630939912073,-1.0,0.2556390977443609,133.0,2,204,305
avg_path,degree_weighted,0.05,3.4857102628285355,4.303620150187735,-1.0,0.9933333333333333,150.0,2,204,305
modularity,degree_weighted,0.05,0.3889678655196776,0.663583375,-1.0,0.06666666666666667,150.0,2,204,305
clustering,degree_weighted,0.1,0.016854585609671045,0.4905644829007004,-1.0,0.013333333333333334,150.0,2,204,305
assortativity,degree_weighted,0.1,-0.07749951482827531,-0.020658630939912073,-1.0,0.02,150.0,2,204,305
avg_path,degree_weighted,0.1,3.4857102628285355,4.303620150187735,-1.0,0.9866666666666667,150.0,2,204,305
modularity,degree_weighted,0.1,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,degree_weighted,0.2,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,degree_weighted,0.2,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,degree_weighted,0.2,3.4857102628285355,4.303620150187735,-1.0,0.09333333333333334,150.0,2,204,305
modularity,degree_weighted,0.2,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,degree_weighted,0.3,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,degree_weighted,0.3,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,degree_weighted,0.3,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,degree_weighted,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,edge_uniform,0.05,0.016854585609671045,0.4905644829007004,-1.0,0.08666666666666667,150.0,2,204,305
assortativity,edge_uniform,0.05,-0.07749951482827531,-0.020658630939912073,-1.0,0.02027027027027027,148.0,2,204,305
avg_path,edge_uniform,0.05,3.4857102628285355,4.303620150187735,-1.0,0.9933333333333333,150.0,2,204,305
modularity,edge_uniform,0.05,0.3889678655196776,0.663583375,-1.0,0.02,150.0,2,204,305
clustering,edge_uniform,0.1,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,edge_uniform,0.1,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,edge_uniform,0.1,3.4857102628285355,4.303620150187735,-1.0,0.9,150.0,2,204,305
modularity,edge_uniform,0.1,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,edge_uniform,0.2,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,edge_uniform,0.2,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,edge_uniform,0.2,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,edge_uniform,0.2,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,edge_uniform,0.3,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,edge_uniform,0.3,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,edge_uniform,0.3,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,edge_uniform,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,random_node,0.05,0.01901045395961621,0.48339513803049033,-1.0,0.5533333333333333,150.0,3,206,307
assortativity,random_node,0.05,-0.06990441797355568,-0.025074587808218928,-1.0,0.18181818181818182,110.0,3,206,307
avg_path,random_node,0.05,3.461836670838548,4.259627659574468,-1.0,0.6148648648648649,148.0,3,206,307
modularity,random_node,0.05,0.38821736887649055,0.6623826249999999,-1.0,0.12837837837837837,148.0,3,206,307
clustering,random_node,0.1,0.01901045395961621,0.48339513803049033,-1.0,0.013333333333333334,150.0,3,206,307
assortativity,random_node,0.1,-0.06990441797355568,-0.025074587808218928,-1.0,0.02,150.0,3,206,307
avg_path,random_node,0.1,3.461836670838548,4.259627659574468,-1.0,0.6,150.0,3,206,307
modularity,random_node,0.1,0.38821736887649055,0.6623826249999999,-1.0,0.07333333333333333,150.0,3,206,307
clustering,random_node,0.2,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,random_node,0.2,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,random_node,0.2,3.461836670838548,4.259627659574468,-1.0,0.4266666666666667,150.0,3,206,307
modularity,random_node,0.2,0.38821736887649055,0.6623826249999999,-1.0,0.006666666666666667,150.0,3,206,307
clustering,random_node,0.3,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,random_node,0.3,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,random_node,0.3,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,random_node,0.3,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,snowball,0.05,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,snowball,0.05,-0.06990441797355568,-0.025074587808218928,-1.0,0.02,150.0,3,206,307
avg_path,snowball,0.05,3.461836670838548,4.259627659574468,-1.0,0.92,150.0,3,206,307
modularity,snowball,0.05,0.38821736887649055,0.6623826249999999,-1.0,0.02,150.0,3,206,307
clustering,snowball,0.1,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,snowball,0.1,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,snowball,0.1,3.461836670838548,4.259627659574468,-1.0,0.14,150.0,3,206,307
modularity,snowball,0.1,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,snowball,0.2,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,snowball,0.2,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,snowball,0.2,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,snowball,0.2,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,snowball,0.3,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,snowball,0.3,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,snowball,0.3,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,snowball,0.3,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,degree_weighted,0.05,0.01901045395961621,0.48339513803049033,-1.0,0.6,150.0,3,206,307
assortativity,degree_weighted,0.05,-0.06990441797355568,-0.025074587808218928,-1.0,0.2318840579710145,138.0,3,206,307
avg_path,degree_weighted,0.05,3.461836670838548,4.259627659574468,-1.0,0.9533333333333334,150.0,3,206,307
modularity,degree_weighted,0.05,0.38821736887649055,0.6623826249999999,-1.0,0.06,150.0,3,206,307
clustering,degree_weighted,0.1,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,degree_weighted,0.1,-0.06990441797355568,-0.025074587808218928,-1.0,0.02,150.0,3,206,307
avg_path,degree_weighted,0.1,3.461836670838548,4.259627659574468,-1.0,0.9533333333333334,150.0,3,206,307
modularity,degree_weighted,0.1,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,degree_weighted,0.2,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,degree_weighted,0.2,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,degree_weighted,0.2,3.461836670838548,4.259627659574468,-1.0,0.06666666666666667,150.0,3,206,307
modularity,degree_weighted,0.2,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,degree_weighted,0.3,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,degree_weighted,0.3,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,degree_weighted,0.3,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,degree_weighted,0.3,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,edge_uniform,0.05,0.01901045395961621,0.48339513803049033,-1.0,0.1,150.0,3,206,307
assortativity,edge_uniform,0.05,-0.06990441797355568,-0.025074587808218928,-1.0,0.02027027027027027,148.0,3,206,307
avg_path,edge_uniform,0.05,3.461836670838548,4.259627659574468,-1.0,1.0,150.0,3,206,307
modularity,edge_uniform,0.05,0.38821736887649055,0.6623826249999999,-1.0,0.02666666666666667,150.0,3,206,307
clustering,edge_uniform,0.1,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,edge_uniform,0.1,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,edge_uniform,0.1,3.461836670838548,4.259627659574468,-1.0,0.7666666666666667,150.0,3,206,307
modularity,edge_uniform,0.1,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,edge_uniform,0.2,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,edge_uniform,0.2,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,edge_uniform,0.2,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,edge_uniform,0.2,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,edge_uniform,0.3,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,edge_uniform,0.3,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,edge_uniform,0.3,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,edge_uniform,0.3,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,random_node,0.05,0.020825757826187563,0.47522875278212845,-1.0,0.58,150.0,4,208,309
assortativity,random_node,0.05,-0.09261067975110077,0.01019020912097632,-1.0,0.17045454545454544,88.0,4,208,309
avg_path,random_node,0.05,3.396445556946183,4.2357978723404255,-1.0,0.5771812080536913,149.0,4,208,309
modularity,random_node,0.05,0.39109533677542,0.669820625,-1.0,0.10344827586206896,145.0,4,208,309
clustering,random_node,0.1,0.020825757826187563,0.47522875278212845,-1.0,0.006666666666666667,150.0,4,208,309
assortativity,random_node,0.1,-0.09261067975110077,0.01019020912097632,-1.0,0.0472972972972973,148.0,4,208,309
avg_path,random_node,0.1,3.396445556946183,4.2357978723404255,-1.0,0.62,150.0,4,208,309
modularity,random_node,0.1,0.39109533677542,0.669820625,-1.0,0.04666666666666667,150.0,4,208,309
clustering,random_node,0.2,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,random_node,0.2,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,random_node,0.2,3.396445556946183,4.2357978723404255,-1.0,0.32666666666666666,150.0,4,208,309
modularity,random_node,0.2,0.39109533677542,0.669820625,-1.0,0.02,150.0,4,208,309
clustering,random_node,0.3,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,random_node,0.3,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,random_node,0.3,3.396445556946183,4.2357978723404255,-1.0,0.013333333333333334,150.0,4,208,309
modularity,random_node,0.3,0.39109533677542,0.669820625,-1.0,0.006666666666666667,150.0,4,208,309
clustering,snowball,0.05,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,snowball,0.05,-0.09261067975110077,0.01019020912097632,-1.0,0.06666666666666667,150.0,4,208,309
avg_path,snowball,0.05,3.396445556946183,4.2357978723404255,-1.0,0.88,150.0,4,208,309
modularity,snowball,0.05,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,snowball,0.1,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,snowball,0.1,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,snowball,0.1,3.396445556946183,4.2357978723404255,-1.0,0.08,150.0,4,208,309
modularity,snowball,0.1,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,snowball,0.2,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,snowball,0.2,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,snowball,0.2,3.396445556946183,4.2357978723404255,-1.0,0.0,150.0,4,208,309
modularity,snowball,0.2,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,snowball,0.3,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,snowball,0.3,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,snowball,0.3,3.396445556946183,4.2357978723404255,-1.0,0.0,150.0,4,208,309
modularity,snowball,0.3,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,degree_weighted,0.05,0.020825757826187563,0.47522875278212845,-1.0,0.5933333333333334,150.0,4,208,309
assortativity,degree_weighted,0.05,-0.09261067975110077,0.01019020912097632,-1.0,0.18796992481203006,133.0,4,208,309
avg_path,degree_weighted,0.05,3.396445556946183,4.2357978723404255,-1.0,0.9933333333333333,150.0,4,208,309
modularity,degree_weighted,0.05,0.39109533677542,0.669820625,-1.0,0.02,150.0,4,208,309
clustering,degree_weighted,0.1,0.020825757826187563,0.47522875278212845,-1.0,0.013333333333333334,150.0,4,208,309
assortativity,degree_weighted,0.1,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,degree_weighted,0.1,3.396445556946183,4.2357978723404255,-1.0,0.9466666666666667,150.0,4,208,309
modularity,degree_weighted,0.1,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,degree_weighted,0.2,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,degree_weighted,0.2,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,degree_weighted,0.2,3.396445556946183,4.2357978723404255,-1.0,0.05333333333333334,150.0,4,208,309
modularity,degree_weighted,0.2,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,degree_weighted,0.3,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,degree_weighted,0.3,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,degree_weighted,0.3,3.396445556946183,4.2357978723404255,-1.0,0.0,150.0,4,208,309
modularity,degree_weighted,0.3,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,edge_uniform,0.05,0.020825757826187563,0.47522875278212845,-1.0,0.07333333333333333,150.0,4,208,309
assortativity,edge_uniform,0.05,-0.09261067975110077,0.01019020912097632,-1.0,0.013513513513513514,148.0,4,208,309
avg_path,edge_uniform,0.05,3.396445556946183,4.2357978723404255,-1.0,0.98,150.0,4,208,309
modularity,edge_uniform,0.05,0.39109533677542,0.669820625,-1.0,0.02,150.0,4,208,309
clustering,edge_uniform,0.1,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,edge_uniform,0.1,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,edge_uniform,0.1,3.396445556946183,4.2357978723404255,-1.0,0.62,150.0,4,208,309
modularity,edge_uniform,0.1,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,edge_uniform,0.2,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,edge_uniform,0.2,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,edge_uniform,0.2,3.396445556946183,4.2357978723404255,-1.0,0.0,150.0,4,208,309
modularity,edge_uniform,0.2,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
clustering,edge_uniform,0.3,0.020825757826187563,0.47522875278212845,-1.0,0.0,150.0,4,208,309
assortativity,edge_uniform,0.3,-0.09261067975110077,0.01019020912097632,-1.0,0.0,150.0,4,208,309
avg_path,edge_uniform,0.3,3.396445556946183,4.2357978723404255,-1.0,0.0,150.0,4,208,309
modularity,edge_uniform,0.3,0.39109533677542,0.669820625,-1.0,0.0,150.0,4,208,309
