metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd
clustering,random_node,0.05,0.02240276577355229,0.002307692307692308,-0.896950703242143,1.0300466140458158,1.3658391527386469
assortativity,random_node,0.05,-0.06601773600797392,-0.2957612151874649,-3.47997391455271,4.368577496228038,5.585220477878859
avg_path,random_node,0.05,3.4401032540675844,1.4595234697275514,-0.5757324889204135,0.12816400521749965,0.5898253224742774
modularity,random_node,0.05,0.3886037683834944,0.6016552867879316,0.5482473086747803,0.44195500711628954,0.7042012068892665
clustering,random_node,0.1,0.02240276577355229,0.010950725972279762,-0.5111658422528097,1.4080862346390615,1.497997784533086
assortativity,random_node,0.1,-0.06601773600797392,-0.14910168145386776,-1.258490399389936,2.7536509355401155,3.027604921411906
avg_path,random_node,0.1,3.4401032540675844,2.511129312278895,-0.2700423804570077,0.21389847806187123,0.3444930277379676
modularity,random_node,0.1,0.3886037683834944,0.7978761836368932,1.0531842338319135,0.17950272314173252,1.068371778926892
clustering,random_node,0.2,0.02240276577355229,0.015449425717011063,-0.3103647898671421,0.7307539685191927,0.7939317762225068
assortativity,random_node,0.2,-0.06601773600797392,-0.13130297214509565,-0.9888895196241927,1.1854217934923899,1.5437380964753318
avg_path,random_node,0.2,3.4401032540675844,5.01494587915201,0.4577892147374107,0.2449835454792063,0.5192185500205645
modularity,random_node,0.2,0.3886037683834944,0.7983464591946459,1.054394397978146,0.1450472554704229,1.0643243174931216
clustering,random_node,0.3,0.02240276577355229,0.020477176246425845,-0.08594936880654273,0.5746462009716596,0.5810383380547313
assortativity,random_node,0.3,-0.06601773600797392,-0.11023438661041444,-0.6697591210637526,0.8613089103232163,1.091068430140959
avg_path,random_node,0.3,3.4401032540675844,5.2773348587477065,0.534062769320952,0.24164107170498442,0.5861855074202174
modularity,random_node,0.3,0.3886037683834944,0.7264122153902204,0.8692853883701187,0.12897651102964233,0.8788014717962002
clustering,snowball,0.05,0.02240276577355229,0.0874280922002118,2.9024284168968633,2.2197670316775935,3.653964475762345
assortativity,snowball,0.05,-0.06601773600797392,-0.44360729251529996,-5.719430260853825,2.062081284031281,6.079807705077731
avg_path,snowball,0.05,3.4401032540675844,3.325439657992932,-0.033331430563208676,0.15055807889520056,0.1542034999084114
modularity,snowball,0.05,0.3886037683834944,0.5061871698364989,0.3025783804509763,0.21897972866221554,0.373504749476246
clustering,snowball,0.1,0.02240276577355229,0.07567967060010247,2.378033468348599,1.0506309816799637,2.599782420944466
assortativity,snowball,0.1,-0.06601773600797392,-0.3725584016521861,-4.643237422891396,1.1541135870542034,4.784520032057787
avg_path,snowball,0.1,3.4401032540675844,3.0084037808938042,-0.12549022974037433,0.08692935250784621,0.15265814779344505
modularity,snowball,0.1,0.3886037683834944,0.46076165905363564,0.1856845220152632,0.12999135748750973,0.22666383641305093
clustering,snowball,0.2,0.02240276577355229,0.055898536015689705,1.4950955379867106,0.303544323098108,1.5255981855629155
assortativity,snowball,0.2,-0.06601773600797392,-0.29239165296930947,-3.428934430583365,0.74178246752489,3.508252065967806
avg_path,snowball,0.2,3.4401032540675844,3.104536163522012,-0.09754561657507836,0.06532303897500492,0.11739781400836309
modularity,snowball,0.2,0.3886037683834944,0.45695777615818095,0.1758959573734088,0.07017479270111639,0.189377636881847
clustering,snowball,0.3,0.02240276577355229,0.04717159954745302,1.1055656457157041,0.14595488489749275,1.115158385796485
assortativity,snowball,0.3,-0.06601773600797392,-0.23815957268178053,-2.6074694409934605,0.5428172636365844,2.663371447510966
avg_path,snowball,0.3,3.4401032540675844,3.1033894700139473,-0.097878947609075,0.04599000862414128,0.10814513062689711
modularity,snowball,0.3,0.3886037683834944,0.43523189392554024,0.11998855736126963,0.043362550822849344,0.12758355972264956
clustering,degree_weighted,0.05,0.02240276577355229,0.08794115879847655,2.9253293257641766,3.3446670919865076,4.443461445809266
assortativity,degree_weighted,0.05,-0.06601773600797392,-0.208035085073557,-2.151167345106847,2.401525638682608,3.2241039592271137
avg_path,degree_weighted,0.05,3.4401032540675844,2.8645142590489114,-0.16731731148499226,0.14329569247831325,0.22029239252730734
modularity,degree_weighted,0.05,0.3886037683834944,0.5546616338505089,0.42731813651638056,0.2484279607965315,0.4942845754232627
clustering,degree_weighted,0.1,0.02240276577355229,0.093352364227931,3.166860391753198,1.6732869995669117,3.581744564283564
assortativity,degree_weighted,0.1,-0.06601773600797392,-0.10990598052650342,-0.6647846834454474,1.169787566246437,1.3454893628299058
avg_path,degree_weighted,0.1,3.4401032540675844,3.4769887139068594,0.010722192443924196,0.14569286565019787,0.14608688001381626
modularity,degree_weighted,0.1,0.3886037683834944,0.5619763882878082,0.4461412571582783,0.16631176275576928,0.4761319394555466
clustering,degree_weighted,0.2,0.02240276577355229,0.07604308107291914,2.3942544231867213,0.5088002404883042,2.447719740425798
assortativity,degree_weighted,0.2,-0.06601773600797392,-0.04708626155299469,0.2867591171798963,0.4941633274818624,0.5713389410093975
avg_path,degree_weighted,0.2,3.4401032540675844,3.5611465616542715,0.03518594165963582,0.04023423343263557,0.05344945304104715
modularity,degree_weighted,0.2,0.3886037683834944,0.5127295232926222,0.3194138749904231,0.07080902850262955,0.3271683695803796
clustering,degree_weighted,0.3,0.02240276577355229,0.05888647616405015,1.6284633020742871,0.20383781458339725,1.641171100420924
assortativity,degree_weighted,0.3,-0.06601773600797392,-0.04354945816101893,0.3403318391954856,0.3336879801380944,0.47662713818961583
avg_path,degree_weighted,0.3,3.4401032540675844,3.5221732933875876,0.023856846554276192,0.02134311581040185,0.03201058762363642
modularity,degree_weighted,0.3,0.3886037683834944,0.4743656590128268,0.22069181236782534,0.03677778525946958,0.22373529344917195
clustering,edge_uniform,0.05,0.02240276577355229,0.09090343174791689,3.0575514253603666,2.558018686328063,3.9864872153722954
assortativity,edge_uniform,0.05,-0.06601773600797392,0.12580753481049267,2.9056186533970814,1.886290074612492,3.4642040939515484
avg_path,edge_uniform,0.05,3.4401032540675844,3.601410387500857,0.04689018748270287,0.1990962714454789,0.20454343056098095
modularity,edge_uniform,0.05,0.3886037683834944,0.641568314647234,0.6509558472892994,0.25766597325242324,0.7000966139699921
clustering,edge_uniform,0.1,0.02240276577355229,0.08741130874948508,2.901679281644497,1.4636223758272422,3.249912785375495
assortativity,edge_uniform,0.1,-0.06601773600797392,0.0544623769063979,1.8249381948151797,1.007088414678144,2.084376762937599
avg_path,edge_uniform,0.1,3.4401032540675844,3.822549641824048,0.11117290625836658,0.1172770636200203,0.16159617797852105
modularity,edge_uniform,0.1,0.3886037683834944,0.5672410834390815,0.4596889425692764,0.1335785134807227,0.4787036068217777
clustering,edge_uniform,0.2,0.02240276577355229,0.07095236345612889,2.1670284439364003,0.5250817391016716,2.2297361076072324
assortativity,edge_uniform,0.2,-0.06601773600797392,0.021607554395904026,1.3272791286596934,0.5087591059100145,1.421444938512214
avg_path,edge_uniform,0.2,3.4401032540675844,3.6473866762164118,0.060254982651684205,0.044311319474333595,0.07479409046115354
modularity,edge_uniform,0.2,0.3886037683834944,0.5002807228336582,0.28737926946885906,0.0652706648230715,0.29469832745860786
clustering,edge_uniform,0.3,0.02240276577355229,0.05735711155062563,1.5601995722673125,0.20432831149983366,1.5735224066353417
assortativity,edge_uniform,0.3,-0.06601773600797392,0.0031289530326268997,1.0473797776475016,0.3425451862963558,1.1019716889647098
avg_path,edge_uniform,0.3,3.4401032540675844,3.526483087037627,0.025109655577416602,0.021050065084447525,0.03276583652641826
modularity,edge_uniform,0.3,0.3886037683834944,0.46058117527270914,0.185220081546153,0.031425666100014675,0.18786711020770286
